,year,month,day,hour,V,Verr,N,Nerr,S,Serr,E,Eerr,W,Werr,NE,NEerr,SE,SEerr,NW,NWerr,SW,SWerr,N2,N2err,S2,S2err,E2,E2err,W2,W2err,N3,N3err,S3,S3err,E3,E3err,W3,W3err,Pres.,TIME
59,2018,1,3,11,2553268,1602,899329,950,925392,964,1133392,1067,1219749,1107,449081,671,465312,683,501164,709,536993,734,261474,512,284393,534,353052,595,404166,637,41886,205,43632,209,87535,296,106609,327,954.378,2018-01-03 11:30:00
60,2018,1,3,12,2549881,1601,899465,950,923455,963,1137885,1069,1219754,1107,449196,671,466351,684,502037,710,536097,734,261924,513,284469,534,354277,596,405184,638,42428,206,43523,209,88050,297,106035,326,954.44,2018-01-03 12:30:00
61,2018,1,3,13,2553208,1602,899093,950,924200,964,1135255,1068,1219965,1107,448965,671,466585,684,500601,709,535384,733,261368,512,283423,533,352942,595,404407,637,42052,205,43054,208,87683,296,106405,327,954.692,2018-01-03 13:30:00
62,2018,1,3,14,2555245,1603,901086,952,926092,965,1135057,1068,1219473,1107,448931,671,465382,684,501328,710,537549,735,261914,513,283913,534,353530,596,404455,637,41923,205,42968,207,87222,296,107254,328,954.842,2018-01-03 14:30:00
63,2018,1,3,15,2553822,1602,899051,950,922847,963,1132770,1067,1220952,1108,448928,671,464367,683,502471,710,536299,734,261691,513,284010,534,352902,595,406078,639,42227,206,43494,209,87182,296,106691,327,954.731,2018-01-03 15:30:00
64,2018,1,3,16,2550739,1601,898243,950,920304,961,1132868,1066,1219513,1107,447966,670,463741,682,500732,709,536275,734,261828,513,283310,533,352250,594,404656,637,42292,206,43186,208,87343,296,106094,326,954.498,2018-01-03 16:30:00
65,2018,1,3,17,2546890,1600,898372,950,920524,961,1130647,1065,1218941,1106,447473,670,463258,682,502031,710,534951,733,261432,512,283072,533,352908,595,403704,637,42323,206,43554,209,87069,295,106692,327,954.298,2018-01-03 17:30:00
66,2018,1,3,18,2542312,1598,897540,949,920427,961,1127584,1064,1219063,1106,447618,670,464130,682,501427,709,534799,733,260635,511,282672,532,351994,594,404212,637,42344,206,43026,207,87247,296,106603,327,953.904,2018-01-03 18:30:00
67,2018,1,3,19,2539660,1597,896032,948,921137,961,1128974,1064,1213675,1104,447139,670,462639,681,501572,709,534541,732,260454,511,282759,532,352467,594,403900,636,42572,206,43181,208,87114,295,106907,327,953.629,2018-01-03 19:30:00
68,2018,1,3,20,2542901,1598,895557,948,921453,961,1128077,1064,1216004,1105,445922,669,463719,682,500251,708,534939,732,260344,511,282526,532,352696,595,402681,635,41537,204,43442,208,86383,294,106395,326,953.57,2018-01-03 20:30:00
69,2018,1,3,21,2540266,1597,895898,948,920002,961,1129283,1064,1215607,1105,445818,669,463490,682,497771,707,534523,732,261097,512,282838,533,351728,594,402752,636,41937,205,43520,209,86951,295,106247,326,953.953,2018-01-03 21:30:00
70,2018,1,3,22,2536949,1596,894443,948,918388,960,1126091,1063,1213970,1104,445880,669,463289,682,499143,708,533356,732,260576,511,283381,533,352547,595,404206,637,42091,205,43276,208,87258,296,107089,328,954.324,2018-01-03 22:30:00
71,2018,1,3,23,2537870,1597,894155,948,919747,961,1129336,1065,1211306,1103,446150,669,462502,681,497510,707,533783,732,260420,511,283253,533,351281,594,403788,637,41892,205,43126,208,86476,294,106115,326,954.737,2018-01-03 23:30:00
